User_ID,Session_ID,User_Type,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag
USR00001,USR00001_SES0_58be9,New,Browse,2026-04-04 12:55:43,Tablet,North,Social Media,Beauty,0.0,No
USR00001,USR00001_SES0_58be9,New,Add to Cart,2026-04-04 12:57:43,Tablet,North,Social Media,Beauty,0.0,No
USR00001,USR00001_SES0_58be9,New,Checkout,2026-04-04 13:02:43,Tablet,North,Social Media,Beauty,0.0,No
USR00001,USR00001_SES1_c34a8,New,Browse,2026-04-05 12:55:43,Tablet,West,Google Ads,Electronics,0.0,Yes
USR00002,USR00002_SES0_ff5d9,New,Browse,2026-03-18 02:47:04,Tablet,North,Google Ads,Beauty,0.0,Yes
USR00002,USR00002_SES1_9f7d4,New,Browse,2026-03-19 07:47:04,Mobile,South,Google Ads,Sports,0.0,No
USR00002,USR00002_SES1_9f7d4,New,Add to Cart,2026-03-19 07:52:04,Mobile,South,Google Ads,Sports,0.0,No
USR00003,USR00003_SES0_42f5b,Returning,Browse,2026-03-29 02:56:53,Mobile,East,Email,Fashion,0.0,No
USR00003,USR00003_SES0_42f5b,Returning,Add to Cart,2026-03-29 03:02:53,Mobile,East,Email,Fashion,0.0,No
USR00003,USR00003_SES1_72a73,Returning,Browse,2026-03-30 17:56:53,Mobile,West,Google Ads,Sports,0.0,No
USR00003,USR00003_SES1_72a73,Returning,Add to Cart,2026-03-30 18:01:53,Mobile,West,Google Ads,Sports,0.0,No
USR00003,USR00003_SES2_9cf47,Returning,Browse,2026-03-31 12:56:53,Mobile,North,Email,Beauty,0.0,No
USR00003,USR00003_SES2_9cf47,Returning,Add to Cart,2026-03-31 13:01:53,Mobile,North,Email,Beauty,0.0,No
USR00004,USR00004_SES0_c8fa9,New,Browse,2026-04-05 11:57:38,Desktop,South,Google Ads,Beauty,0.0,No
USR00004,USR00004_SES0_c8fa9,New,Add to Cart,2026-04-05 12:03:38,Desktop,South,Google Ads,Beauty,0.0,No
USR00004,USR00004_SES1_9ac1a,New,Browse,2026-04-06 15:57:38,Tablet,North,Social Media,Beauty,0.0,No
USR00004,USR00004_SES1_9ac1a,New,Add to Cart,2026-04-06 15:59:38,Tablet,North,Social Media,Beauty,0.0,No
USR00005,USR00005_SES0_5a96f,New,Browse,2026-03-25 05:06:29,Tablet,North,Google Ads,Beauty,0.0,Yes
USR00006,USR00006_SES0_a7b5c,New,Browse,2026-03-21 17:16:04,Tablet,South,Email,Beauty,0.0,No
USR00006,USR00006_SES0_a7b5c,New,Add to Cart,2026-03-21 17:20:04,Tablet,South,Email,Beauty,0.0,No
USR00007,USR00007_SES0_a50f1,Returning,Browse,2026-03-19 23:17:08,Desktop,North,Google Ads,Sports,0.0,No
USR00007,USR00007_SES0_a50f1,Returning,Add to Cart,2026-03-19 23:20:08,Desktop,North,Google Ads,Sports,0.0,No
USR00008,USR00008_SES0_c673b,New,Browse,2026-03-11 01:11:30,Desktop,South,Organic,Sports,0.0,Yes
USR00009,USR00009_SES0_759a6,Returning,Browse,2026-03-20 04:19:01,Desktop,East,Google Ads,Beauty,0.0,No
USR00009,USR00009_SES0_759a6,Returning,Add to Cart,2026-03-20 04:21:01,Desktop,East,Google Ads,Beauty,0.0,No
USR00009,USR00009_SES0_759a6,Returning,Checkout,2026-03-20 04:24:01,Desktop,East,Google Ads,Beauty,0.0,No
USR00009,USR00009_SES1_af023,Returning,Browse,2026-03-21 19:19:01,Mobile,East,Organic,Beauty,0.0,No
USR00009,USR00009_SES1_af023,Returning,Add to Cart,2026-03-21 19:21:01,Mobile,East,Organic,Beauty,0.0,No
USR00009,USR00009_SES2_fca8b,Returning,Browse,2026-03-23 05:19:01,Desktop,South,Social Media,Sports,0.0,No
USR00009,USR00009_SES2_fca8b,Returning,Add to Cart,2026-03-23 05:21:01,Desktop,South,Social Media,Sports,0.0,No
USR00010,USR00010_SES0_f0732,New,Browse,2026-03-11 01:15:00,Desktop,North,Email,Fashion,0.0,Yes
USR00010,USR00010_SES1_f3f62,New,Browse,2026-03-12 17:15:00,Tablet,West,Social Media,Sports,0.0,Yes
USR00010,USR00010_SES2_2cd05,New,Browse,2026-03-13 23:15:00,Mobile,West,Organic,Fashion,0.0,Yes
USR00011,USR00011_SES0_a907e,New,Browse,2026-03-19 11:23:24,Mobile,South,Google Ads,Beauty,0.0,No
USR00011,USR00011_SES0_a907e,New,Add to Cart,2026-03-19 11:25:24,Mobile,South,Google Ads,Beauty,0.0,No
USR00011,USR00011_SES0_a907e,New,Checkout,2026-03-19 11:30:24,Mobile,South,Google Ads,Beauty,0.0,No
USR00011,USR00011_SES1_8f981,New,Browse,2026-03-20 01:23:24,Mobile,South,Organic,Electronics,0.0,No
USR00011,USR00011_SES1_8f981,New,Add to Cart,2026-03-20 01:25:24,Mobile,South,Organic,Electronics,0.0,No
USR00012,USR00012_SES0_10d24,New,Browse,2026-03-17 02:20:11,Mobile,East,Email,Sports,0.0,Yes
USR00012,USR00012_SES1_a8349,New,Browse,2026-03-18 13:20:11,Desktop,South,Email,Electronics,0.0,Yes
USR00013,USR00013_SES0_ca8fc,Returning,Browse,2026-03-12 12:58:29,Desktop,East,Social Media,Fashion,0.0,No
USR00013,USR00013_SES0_ca8fc,Returning,Add to Cart,2026-03-12 13:04:29,Desktop,East,Social Media,Fashion,0.0,No
USR00013,USR00013_SES0_ca8fc,Returning,Checkout,2026-03-12 13:07:29,Desktop,East,Social Media,Fashion,0.0,No
USR00014,USR00014_SES0_c54e5,Returning,Browse,2026-04-01 21:00:49,Desktop,North,Social Media,Electronics,0.0,Yes
USR00015,USR00015_SES0_d340c,Returning,Browse,2026-04-05 12:32:59,Tablet,East,Social Media,Home,0.0,No
USR00015,USR00015_SES0_d340c,Returning,Add to Cart,2026-04-05 12:36:59,Tablet,East,Social Media,Home,0.0,No
USR00015,USR00015_SES1_3c440,Returning,Browse,2026-04-07 01:32:59,Desktop,West,Social Media,Beauty,0.0,Yes
USR00015,USR00015_SES2_603a6,Returning,Browse,2026-04-07 11:32:59,Desktop,West,Email,Home,0.0,No
USR00015,USR00015_SES2_603a6,Returning,Add to Cart,2026-04-07 11:37:59,Desktop,West,Email,Home,0.0,No
USR00015,USR00015_SES2_603a6,Returning,Checkout,2026-04-07 11:39:59,Desktop,West,Email,Home,0.0,No
USR00016,USR00016_SES0_feefa,New,Browse,2026-03-30 00:34:59,Desktop,East,Email,Sports,0.0,Yes
USR00016,USR00016_SES1_a602c,New,Browse,2026-03-30 21:34:59,Desktop,South,Organic,Beauty,0.0,Yes
USR00016,USR00016_SES2_cfd54,New,Browse,2026-04-01 08:34:59,Mobile,South,Organic,Home,0.0,No
USR00016,USR00016_SES2_cfd54,New,Add to Cart,2026-04-01 08:37:59,Mobile,South,Organic,Home,0.0,No
USR00016,USR00016_SES2_cfd54,New,Checkout,2026-04-01 08:39:59,Mobile,South,Organic,Home,0.0,No
USR00016,USR00016_SES2_cfd54,New,Purchase,2026-04-01 08:41:59,Mobile,South,Organic,Home,1055.5,No
USR00017,USR00017_SES0_235d0,New,Browse,2026-03-27 05:37:28,Mobile,North,Google Ads,Sports,0.0,No
USR00017,USR00017_SES0_235d0,New,Add to Cart,2026-03-27 05:41:28,Mobile,North,Google Ads,Sports,0.0,No
USR00017,USR00017_SES0_235d0,New,Checkout,2026-03-27 05:46:28,Mobile,North,Google Ads,Sports,0.0,No
USR00018,USR00018_SES0_824cf,New,Browse,2026-03-31 16:21:59,Mobile,South,Social Media,Sports,0.0,No
USR00018,USR00018_SES0_824cf,New,Add to Cart,2026-03-31 16:26:59,Mobile,South,Social Media,Sports,0.0,No
USR00018,USR00018_SES0_824cf,New,Checkout,2026-03-31 16:28:59,Mobile,South,Social Media,Sports,0.0,No
USR00018,USR00018_SES1_986b9,New,Browse,2026-04-01 18:21:59,Desktop,East,Google Ads,Electronics,0.0,No
USR00018,USR00018_SES1_986b9,New,Add to Cart,2026-04-01 18:24:59,Desktop,East,Google Ads,Electronics,0.0,No
USR00018,USR00018_SES1_986b9,New,Checkout,2026-04-01 18:28:59,Desktop,East,Google Ads,Electronics,0.0,No
USR00018,USR00018_SES2_09795,New,Browse,2026-04-02 14:21:59,Desktop,North,Organic,Beauty,0.0,No
USR00018,USR00018_SES2_09795,New,Add to Cart,2026-04-02 14:23:59,Desktop,North,Organic,Beauty,0.0,No
USR00018,USR00018_SES2_09795,New,Checkout,2026-04-02 14:25:59,Desktop,North,Organic,Beauty,0.0,No
USR00019,USR00019_SES0_a0310,New,Browse,2026-03-20 13:22:28,Mobile,West,Organic,Home,0.0,No
